,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-7.56544E-03,-5.84000E+00,2.40000E-01,5.36000E+00,0.00000E+00
-7.56344E-03,-5.92000E+00,2.40000E-01,5.36000E+00,0.00000E+00
-7.56144E-03,-5.84000E+00,2.40000E-01,5.44000E+00,0.00000E+00
-7.55944E-03,-5.92000E+00,2.40000E-01,5.44000E+00,0.00000E+00
-7.55744E-03,-5.92000E+00,2.40000E-01,5.44000E+00,0.00000E+00
-7.55544E-03,-5.92000E+00,2.40000E-01,5.44000E+00,0.00000E+00
-7.55344E-03,-5.92000E+00,2.40000E-01,5.44000E+00,-8.00000E-02
-7.55144E-03,-5.92000E+00,2.40000E-01,5.44000E+00,0.00000E+00
-7.54944E-03,-5.92000E+00,2.40000E-01,5.52000E+00,0.00000E+00
-7.54744E-03,-5.92000E+00,2.40000E-01,5.52000E+00,0.00000E+00
-7.54544E-03,-5.92000E+00,2.40000E-01,5.52000E+00,0.00000E+00
-7.54344E-03,-5.92000E+00,2.40000E-01,5.52000E+00,-8.00000E-02
-7.54144E-03,-6.00000E+00,2.40000E-01,5.52000E+00,0.00000E+00
-7.53944E-03,-6.00000E+00,1.60000E-01,5.60000E+00,0.00000E+00
